[2024-12-19 20:27:25.953617300 +01:00] - [DEBUG] Application started!
[2024-12-19 20:27:26.335202200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:27.385269100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:28.436976600 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:29.487922200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:30.535881200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:31.584583700 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:32.634643500 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:33.690062100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:34.758032200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:35.821558200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:36.878646800 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:37.940675100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:38.990915100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:40.038158 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:41.087939100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:42.141032700 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:43.192331900 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:44.238606100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:45.289714100 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:46.340107 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:47.391324300 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:48.443983600 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:49.496801200 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:50.553085900 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:51.611456600 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:52.665745800 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:53.715829400 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:54.774966700 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:55.827027 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:56.877494700 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:57.937082 +01:00] - [DEBUG] log file test
[2024-12-19 20:27:58.995128300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:00.051965900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:01.103741700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:02.157469100 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:03.206972 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:04.253172400 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:05.304563700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:06.363908900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:07.425896200 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:08.486633500 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:09.542169700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:10.592833 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:11.649624300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:12.701938800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:13.755262300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:14.802970800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:15.857768900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:16.909136900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:17.958228900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:19.009157100 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:20.062210100 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:21.115548500 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:22.168415900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:23.219046600 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:24.266153800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:25.315832 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:26.367972900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:27.418885900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:28.473910100 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:29.523528700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:30.571894300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:31.613604200 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:32.665271700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:33.720232400 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:34.775712500 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:35.822615400 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:36.873702700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:37.925572300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:38.976564200 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:40.026594 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:41.076769300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:42.129300800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:43.173532600 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:44.225317900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:45.277414300 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:46.325823800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:47.365438 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:48.403483900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:49.442551600 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:50.489445700 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:51.540362500 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:52.577168500 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:53.614378900 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:54.651268800 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:55.690702400 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:56.740723 +01:00] - [DEBUG] log file test
[2024-12-19 20:28:57.789907100 +01:00] - [DEBUG] log file test
